call_id,cell_id,layout_id,gravity_mode,model_key,format_valid,response_attempt_count,correct,questions,accuracy,error,provider_cost_usd,prompt_tokens,completion_tokens
BalanceUnder_2_downward:gpt:temporal_rollout_json_qualitative_v3,BalanceUnder_2_downward,BalanceUnder_2,downward,gpt,1,1,1,1,1.0,,0.006145,4604,39
BalanceUnder_2_upward:gemini:temporal_rollout_json_qualitative_v3,BalanceUnder_2_upward,BalanceUnder_2,upward,gemini,1,1,2,2,1.0,,0.016296,6132,336
BalanceUnder_2_upward:gpt:temporal_rollout_json_qualitative_v3,BalanceUnder_2_upward,BalanceUnder_2,upward,gpt,1,1,2,2,1.0,,0.0063475,4654,53
BalanceUnder_3_downward:gemini:temporal_rollout_json_qualitative_v3,BalanceUnder_3_downward,BalanceUnder_3,downward,gemini,1,1,1,1,1.0,,0.013948,5912,177
BalanceUnder_3_downward:gpt:temporal_rollout_json_qualitative_v3,BalanceUnder_3_downward,BalanceUnder_3,downward,gpt,1,1,1,1,1.0,,0.00601875,4503,39
BalanceUnder_3_upward:gemini:temporal_rollout_json_qualitative_v3,BalanceUnder_3_upward,BalanceUnder_3,upward,gemini,1,1,1,1,1.0,,0.013894,5615,222
BalanceUnder_3_upward:gpt:temporal_rollout_json_qualitative_v3,BalanceUnder_3_upward,BalanceUnder_3,upward,gpt,1,1,1,1,1.0,,0.00602125,4505,39
BalanceUnder_5_downward:gemini:temporal_rollout_json_qualitative_v3,BalanceUnder_5_downward,BalanceUnder_5,downward,gemini,1,1,1,2,0.5,,0.01582,5978,322
BalanceUnder_5_downward:gpt:temporal_rollout_json_qualitative_v3,BalanceUnder_5_downward,BalanceUnder_5,downward,gpt,1,1,1,2,0.5,,0.00637,4664,54
BalanceUnder_5_upward:gemini:temporal_rollout_json_qualitative_v3,BalanceUnder_5_upward,BalanceUnder_5,upward,gemini,1,1,1,2,0.5,,0.016328,5950,369
BalanceUnder_5_upward:gpt:temporal_rollout_json_qualitative_v3,BalanceUnder_5_upward,BalanceUnder_5,upward,gpt,1,1,1,2,0.5,,0.0063175,4622,54
BalanceUnder_6_downward:gemini:temporal_rollout_json_qualitative_v3,BalanceUnder_6_downward,BalanceUnder_6,downward,gemini,1,1,1,1,1.0,,0.01496,6184,216
BalanceUnder_6_downward:gpt:temporal_rollout_json_qualitative_v3,BalanceUnder_6_downward,BalanceUnder_6,downward,gpt,1,1,1,1,1.0,,0.00607875,4551,39
BalanceUnder_6_upward:gemini:temporal_rollout_json_qualitative_v3,BalanceUnder_6_upward,BalanceUnder_6,upward,gemini,1,1,2,2,1.0,,0.016166,6115,328
BalanceUnder_6_upward:gpt:temporal_rollout_json_qualitative_v3,BalanceUnder_6_upward,BalanceUnder_6,upward,gpt,1,1,2,2,1.0,,0.00627375,4587,54
BalanceUnder_7_downward:gemini:temporal_rollout_json_qualitative_v3,BalanceUnder_7_downward,BalanceUnder_7,downward,gemini,1,1,1,1,1.0,,0.014842,6209,202
BalanceUnder_7_downward:gpt:temporal_rollout_json_qualitative_v3,BalanceUnder_7_downward,BalanceUnder_7,downward,gpt,1,1,1,1,1.0,,0.00617875,4631,39
BalanceUnder_7_upward:gemini:temporal_rollout_json_qualitative_v3,BalanceUnder_7_upward,BalanceUnder_7,upward,gemini,1,1,1,1,1.0,,0.013854,6111,136
BalanceUnder_7_upward:gpt:temporal_rollout_json_qualitative_v3,BalanceUnder_7_upward,BalanceUnder_7,upward,gpt,1,1,1,1,1.0,,0.00618375,4635,39
BalanceUnder_8_downward:gemini:temporal_rollout_json_qualitative_v3,BalanceUnder_8_downward,BalanceUnder_8,downward,gemini,1,1,2,2,1.0,,0.015642,6333,248
BalanceUnder_8_downward:gpt:temporal_rollout_json_qualitative_v3,BalanceUnder_8_downward,BalanceUnder_8,downward,gpt,1,1,2,2,1.0,,0.0063375,4646,53
BalanceUnder_8_upward:gemini:temporal_rollout_json_qualitative_v3,BalanceUnder_8_upward,BalanceUnder_8,upward,gemini,1,1,1,1,1.0,,0.01427,6049,181
BalanceUnder_8_upward:gpt:temporal_rollout_json_qualitative_v3,BalanceUnder_8_upward,BalanceUnder_8,upward,gpt,1,1,1,1,1.0,,0.00612625,4589,39
Balance_10_downward:gemini:temporal_rollout_json_qualitative_v3,Balance_10_downward,Balance_10,downward,gemini,1,1,1,1,1.0,,0.012046,4793,205
Balance_10_downward:gpt:temporal_rollout_json_qualitative_v3,Balance_10_downward,Balance_10,downward,gpt,1,1,1,1,1.0,,0.0049775,3678,38
Balance_10_upward:gemini:temporal_rollout_json_qualitative_v3,Balance_10_upward,Balance_10,upward,gemini,1,1,1,1,1.0,,0.012318,4983,196
Balance_10_upward:gpt:temporal_rollout_json_qualitative_v3,Balance_10_upward,Balance_10,upward,gpt,1,1,1,1,1.0,,0.004995,3692,38
Balance_1_downward:gemini:temporal_rollout_json_qualitative_v3,Balance_1_downward,Balance_1,downward,gemini,1,1,2,2,1.0,,0.013556,5044,289
Balance_1_downward:gpt:temporal_rollout_json_qualitative_v3,Balance_1_downward,Balance_1,downward,gpt,1,1,2,2,1.0,,0.00512875,3695,51
Balance_1_upward:gemini:temporal_rollout_json_qualitative_v3,Balance_1_upward,Balance_1,upward,gemini,1,1,2,2,1.0,,0.01476,5052,388
Balance_1_upward:gpt:temporal_rollout_json_qualitative_v3,Balance_1_upward,Balance_1,upward,gpt,1,1,2,2,1.0,,0.00512875,3695,51
Balance_2_downward:gemini:temporal_rollout_json_qualitative_v3,Balance_2_downward,Balance_2,downward,gemini,1,1,1,2,0.5,,0.014778,4917,412
Balance_2_downward:gpt:temporal_rollout_json_qualitative_v3,Balance_2_downward,Balance_2,downward,gpt,1,1,1,2,0.5,,0.005115,3676,52
Balance_2_upward:gemini:temporal_rollout_json_qualitative_v3,Balance_2_upward,Balance_2,upward,gemini,1,1,1,2,0.5,,0.01436,4936,374
Balance_2_upward:gpt:temporal_rollout_json_qualitative_v3,Balance_2_upward,Balance_2,upward,gpt,1,1,1,2,0.5,,0.005115,3676,52
Balance_3_downward:gemini:temporal_rollout_json_qualitative_v3,Balance_3_downward,Balance_3,downward,gemini,1,1,2,2,1.0,,0.01317,4923,277
Balance_3_downward:gpt:temporal_rollout_json_qualitative_v3,Balance_3_downward,Balance_3,downward,gpt,1,1,2,2,1.0,,0.005125,3684,52
Balance_3_upward:gemini:temporal_rollout_json_qualitative_v3,Balance_3_upward,Balance_3,upward,gemini,1,1,3,3,1.0,,0.01491,5151,384
Balance_3_upward:gpt:temporal_rollout_json_qualitative_v3,Balance_3_upward,Balance_3,upward,gpt,1,1,3,3,1.0,,0.0053575,3766,65
Balance_4_downward:gemini:temporal_rollout_json_qualitative_v3,Balance_4_downward,Balance_4,downward,gemini,1,1,2,2,1.0,,0.013998,5049,325
Balance_4_downward:gpt:temporal_rollout_json_qualitative_v3,Balance_4_downward,Balance_4,downward,gpt,1,1,2,2,1.0,,0.0051925,3746,51
Balance_4_upward:gemini:temporal_rollout_json_qualitative_v3,Balance_4_upward,Balance_4,upward,gemini,1,1,2,2,1.0,,0.013852,5162,294
Balance_4_upward:gpt:temporal_rollout_json_qualitative_v3,Balance_4_upward,Balance_4,upward,gpt,1,1,2,2,1.0,,0.00520625,3757,51
Balance_5_downward:gemini:temporal_rollout_json_qualitative_v3,Balance_5_downward,Balance_5,downward,gemini,1,1,1,1,1.0,,0.01228,4856,214
Balance_5_downward:gpt:temporal_rollout_json_qualitative_v3,Balance_5_downward,Balance_5,downward,gpt,1,1,1,1,1.0,,0.00488875,3607,38
Balance_5_upward:gemini:temporal_rollout_json_qualitative_v3,Balance_5_upward,Balance_5,upward,gemini,1,1,1,1,1.0,,0.012514,4865,232
Balance_5_upward:gpt:temporal_rollout_json_qualitative_v3,Balance_5_upward,Balance_5,upward,gpt,1,1,1,1,1.0,,0.00488875,3607,38
Balance_7_downward:gemini:temporal_rollout_json_qualitative_v3,Balance_7_downward,Balance_7,downward,gemini,1,1,2,2,1.0,,0.014118,4929,355
Balance_7_downward:gpt:temporal_rollout_json_qualitative_v3,Balance_7_downward,Balance_7,downward,gpt,1,1,2,2,1.0,,0.00521875,3759,52
Balance_7_upward:gemini:temporal_rollout_json_qualitative_v3,Balance_7_upward,Balance_7,upward,gemini,1,1,2,2,1.0,,0.015078,4941,433
Balance_7_upward:gpt:temporal_rollout_json_qualitative_v3,Balance_7_upward,Balance_7,upward,gpt,1,1,2,2,1.0,,0.00518875,3735,52
Balance_8_downward:gemini:temporal_rollout_json_qualitative_v3,Balance_8_downward,Balance_8,downward,gemini,1,1,2,2,1.0,,0.014418,4827,397
Balance_8_downward:gpt:temporal_rollout_json_qualitative_v3,Balance_8_downward,Balance_8,downward,gpt,1,1,2,2,1.0,,0.00518125,3729,52
Balance_8_upward:gemini:temporal_rollout_json_qualitative_v3,Balance_8_upward,Balance_8,upward,gemini,1,1,2,2,1.0,,0.014256,4968,360
Balance_8_upward:gpt:temporal_rollout_json_qualitative_v3,Balance_8_upward,Balance_8,upward,gpt,1,1,2,2,1.0,,0.00519,3736,52
Basic_10_downward:gemini:temporal_rollout_json_qualitative_v3,Basic_10_downward,Basic_10,downward,gemini,1,1,1,1,1.0,,0.012252,4716,235
Basic_10_downward:gpt:temporal_rollout_json_qualitative_v3,Basic_10_downward,Basic_10,downward,gpt,1,1,1,1,1.0,,0.00496625,3669,38
Basic_10_upward:gemini:temporal_rollout_json_qualitative_v3,Basic_10_upward,Basic_10,upward,gemini,1,1,1,1,1.0,,0.01195,4853,187
Basic_10_upward:gpt:temporal_rollout_json_qualitative_v3,Basic_10_upward,Basic_10,upward,gpt,1,1,1,1,1.0,,0.0049925,3690,38
Basic_1_downward:gemini:temporal_rollout_json_qualitative_v3,Basic_1_downward,Basic_1,downward,gemini,1,1,1,1,1.0,,0.011602,4949,142
Basic_1_downward:gpt:temporal_rollout_json_qualitative_v3,Basic_1_downward,Basic_1,downward,gpt,1,1,1,1,1.0,,0.00505375,3739,38
Basic_1_upward:gemini:temporal_rollout_json_qualitative_v3,Basic_1_upward,Basic_1,upward,gemini,1,1,1,1,1.0,,0.011618,4993,136
Basic_1_upward:gpt:temporal_rollout_json_qualitative_v3,Basic_1_upward,Basic_1,upward,gpt,1,1,1,1,1.0,,0.00505375,3739,38
Basic_2_downward:gemini:temporal_rollout_json_qualitative_v3,Basic_2_downward,Basic_2,downward,gemini,1,1,2,2,1.0,,0.014424,5112,350
Basic_2_downward:gpt:temporal_rollout_json_qualitative_v3,Basic_2_downward,Basic_2,downward,gpt,1,1,2,2,1.0,,0.0052825,3810,52
Basic_2_upward:gemini:temporal_rollout_json_qualitative_v3,Basic_2_upward,Basic_2,upward,gemini,1,1,1,1,1.0,,0.012194,5017,180
Basic_2_upward:gpt:temporal_rollout_json_qualitative_v3,Basic_2_upward,Basic_2,upward,gpt,1,1,1,1,1.0,,0.00505375,3739,38
Basic_6_downward:gemini:temporal_rollout_json_qualitative_v3,Basic_6_downward,Basic_6,downward,gemini,1,1,1,1,1.0,,0.011704,4484,228
Basic_6_downward:gpt:temporal_rollout_json_qualitative_v3,Basic_6_downward,Basic_6,downward,gpt,1,1,1,1,1.0,,0.004945,3652,38
Basic_6_upward:gemini:temporal_rollout_json_qualitative_v3,Basic_6_upward,Basic_6,upward,gemini,1,1,1,1,1.0,,0.011658,4521,218
Basic_6_upward:gpt:temporal_rollout_json_qualitative_v3,Basic_6_upward,Basic_6,upward,gpt,1,1,1,1,1.0,,0.004965,3668,38
Basic_7_downward:gemini:temporal_rollout_json_qualitative_v3,Basic_7_downward,Basic_7,downward,gemini,1,1,1,1,1.0,,0.01197,4905,180
Basic_7_downward:gpt:temporal_rollout_json_qualitative_v3,Basic_7_downward,Basic_7,downward,gpt,1,1,1,1,1.0,,0.00498,3680,38
Basic_7_upward:gemini:temporal_rollout_json_qualitative_v3,Basic_7_upward,Basic_7,upward,gemini,1,1,3,3,1.0,,0.015442,5039,447
Basic_7_upward:gpt:temporal_rollout_json_qualitative_v3,Basic_7_upward,Basic_7,upward,gpt,1,1,3,3,1.0,,0.0054375,3830,65
Basic_8_downward:gemini:temporal_rollout_json_qualitative_v3,Basic_8_downward,Basic_8,downward,gemini,1,1,1,1,1.0,,0.010544,4516,126
Basic_8_downward:gpt:temporal_rollout_json_qualitative_v3,Basic_8_downward,Basic_8,downward,gpt,1,1,1,1,1.0,,0.00492625,3637,38
Basic_8_upward:gemini:temporal_rollout_json_qualitative_v3,Basic_8_upward,Basic_8,upward,gemini,1,1,1,1,1.0,,0.011302,4577,179
Basic_8_upward:gpt:temporal_rollout_json_qualitative_v3,Basic_8_upward,Basic_8,upward,gpt,1,1,1,1,1.0,,0.00492625,3637,38
Basic_9_downward:gemini:temporal_rollout_json_qualitative_v3,Basic_9_downward,Basic_9,downward,gemini,1,1,1,1,1.0,,0.011758,4781,183
Basic_9_downward:gpt:temporal_rollout_json_qualitative_v3,Basic_9_downward,Basic_9,downward,gpt,1,1,1,1,1.0,,0.00494375,3651,38
Basic_9_upward:gemini:temporal_rollout_json_qualitative_v3,Basic_9_upward,Basic_9,upward,gemini,1,1,1,1,1.0,,0.01128,4842,133
Basic_9_upward:gpt:temporal_rollout_json_qualitative_v3,Basic_9_upward,Basic_9,upward,gpt,1,1,1,1,1.0,,0.00494375,3651,38
FallingAlt_10_downward:gemini:temporal_rollout_json_qualitative_v3,FallingAlt_10_downward,FallingAlt_10,downward,gemini,1,1,1,1,1.0,,0.014362,5891,215
FallingAlt_10_downward:gpt:temporal_rollout_json_qualitative_v3,FallingAlt_10_downward,FallingAlt_10,downward,gpt,1,1,1,1,1.0,,0.00603,4504,40
FallingAlt_10_upward:gemini:temporal_rollout_json_qualitative_v3,FallingAlt_10_upward,FallingAlt_10,upward,gemini,1,1,1,1,1.0,,0.014274,5979,193
FallingAlt_10_upward:gpt:temporal_rollout_json_qualitative_v3,FallingAlt_10_upward,FallingAlt_10,upward,gpt,1,1,1,1,1.0,,0.00603,4504,40
FallingAlt_1_downward:gemini:temporal_rollout_json_qualitative_v3,FallingAlt_1_downward,FallingAlt_1,downward,gemini,1,1,1,1,1.0,,0.013618,5561,208
FallingAlt_1_downward:gpt:temporal_rollout_json_qualitative_v3,FallingAlt_1_downward,FallingAlt_1,downward,gpt,1,1,1,1,1.0,,0.0060525,4522,40
FallingAlt_1_upward:gemini:temporal_rollout_json_qualitative_v3,FallingAlt_1_upward,FallingAlt_1,upward,gemini,1,1,1,1,1.0,,0.013258,5747,147
FallingAlt_1_upward:gpt:temporal_rollout_json_qualitative_v3,FallingAlt_1_upward,FallingAlt_1,upward,gpt,1,1,1,1,1.0,,0.00606375,4531,40
FallingAlt_2_downward:gemini:temporal_rollout_json_qualitative_v3,FallingAlt_2_downward,FallingAlt_2,downward,gemini,1,1,2,2,1.0,,0.015848,6076,308
FallingAlt_2_downward:gpt:temporal_rollout_json_qualitative_v3,FallingAlt_2_downward,FallingAlt_2,downward,gpt,1,1,2,2,1.0,,0.006295,4596,55
FallingAlt_2_upward:gemini:temporal_rollout_json_qualitative_v3,FallingAlt_2_upward,FallingAlt_2,upward,gemini,1,1,3,3,1.0,,0.013392,6264,72
FallingAlt_2_upward:gpt:temporal_rollout_json_qualitative_v3,FallingAlt_2_upward,FallingAlt_2,upward,gpt,1,1,3,3,1.0,,0.00654875,4671,71
FallingAlt_3_downward:gemini:temporal_rollout_json_qualitative_v3,FallingAlt_3_downward,FallingAlt_3,downward,gemini,1,1,2,2,1.0,,0.015468,5952,297
FallingAlt_3_downward:gpt:temporal_rollout_json_qualitative_v3,FallingAlt_3_downward,FallingAlt_3,downward,gpt,1,1,2,2,1.0,,0.006305,4604,55
FallingAlt_3_upward:gemini:temporal_rollout_json_qualitative_v3,FallingAlt_3_upward,FallingAlt_3,upward,gemini,1,1,2,2,1.0,,0.01536,5994,281
FallingAlt_3_upward:gpt:temporal_rollout_json_qualitative_v3,FallingAlt_3_upward,FallingAlt_3,upward,gpt,1,1,2,2,1.0,,0.006295,4596,55
FallingAlt_4_downward:gemini:temporal_rollout_json_qualitative_v3,FallingAlt_4_downward,FallingAlt_4,downward,gemini,1,1,1,1,1.0,,0.013048,5468,176
FallingAlt_4_downward:gpt:temporal_rollout_json_qualitative_v3,FallingAlt_4_downward,FallingAlt_4,downward,gpt,1,1,1,1,1.0,,0.00604625,4517,40
FallingAlt_4_upward:gemini:temporal_rollout_json_qualitative_v3,FallingAlt_4_upward,FallingAlt_4,upward,gemini,1,1,1,1,1.0,,0.013352,5416,210
FallingAlt_4_upward:gpt:temporal_rollout_json_qualitative_v3,FallingAlt_4_upward,FallingAlt_4,upward,gpt,1,1,1,1,1.0,,0.00603625,4509,40
FallingAlt_5_downward:gemini:temporal_rollout_json_qualitative_v3,FallingAlt_5_downward,FallingAlt_5,downward,gemini,1,1,1,2,0.5,,0.016208,5872,372
FallingAlt_5_downward:gpt:temporal_rollout_json_qualitative_v3,FallingAlt_5_downward,FallingAlt_5,downward,gpt,1,1,1,2,0.5,,0.00626125,4561,56
FallingAlt_5_upward:gemini:temporal_rollout_json_qualitative_v3,FallingAlt_5_upward,FallingAlt_5,upward,gemini,1,1,1,2,0.5,,0.01667,5983,392
FallingAlt_5_upward:gpt:temporal_rollout_json_qualitative_v3,FallingAlt_5_upward,FallingAlt_5,upward,gpt,1,1,1,2,0.5,,0.00624875,4551,56
FallingAlt_6_downward:gemini:temporal_rollout_json_qualitative_v3,FallingAlt_6_downward,FallingAlt_6,downward,gemini,1,1,1,1,1.0,,0.014158,5939,190
FallingAlt_6_downward:gpt:temporal_rollout_json_qualitative_v3,FallingAlt_6_downward,FallingAlt_6,downward,gpt,1,1,1,1,1.0,,0.0060675,4534,40
FallingAlt_6_upward:gemini:temporal_rollout_json_qualitative_v3,FallingAlt_6_upward,FallingAlt_6,upward,gemini,1,1,1,1,1.0,,0.014324,5986,196
FallingAlt_6_upward:gpt:temporal_rollout_json_qualitative_v3,FallingAlt_6_upward,FallingAlt_6,upward,gpt,1,1,1,1,1.0,,0.0060675,4534,40
FallingAlt_7_downward:gemini:temporal_rollout_json_qualitative_v3,FallingAlt_7_downward,FallingAlt_7,downward,gemini,1,1,1,1,1.0,,0.011746,5723,25
FallingAlt_7_downward:gpt:temporal_rollout_json_qualitative_v3,FallingAlt_7_downward,FallingAlt_7,downward,gpt,1,1,1,1,1.0,,0.0060525,4522,40
FallingAlt_7_upward:gemini:temporal_rollout_json_qualitative_v3,FallingAlt_7_upward,FallingAlt_7,upward,gemini,1,1,1,1,1.0,,0.014088,5886,193
FallingAlt_7_upward:gpt:temporal_rollout_json_qualitative_v3,FallingAlt_7_upward,FallingAlt_7,upward,gpt,1,1,1,1,1.0,,0.00606375,4531,40
FallingAlt_8_downward:gemini:temporal_rollout_json_qualitative_v3,FallingAlt_8_downward,FallingAlt_8,downward,gemini,1,1,2,2,1.0,,0.015248,5998,271
FallingAlt_8_downward:gpt:temporal_rollout_json_qualitative_v3,FallingAlt_8_downward,FallingAlt_8,downward,gpt,1,1,2,2,1.0,,0.00626125,4569,55
FallingAlt_8_upward:gemini:temporal_rollout_json_qualitative_v3,FallingAlt_8_upward,FallingAlt_8,upward,gemini,1,1,2,2,1.0,,0.015994,6053,324
FallingAlt_8_upward:gpt:temporal_rollout_json_qualitative_v3,FallingAlt_8_upward,FallingAlt_8,upward,gpt,1,1,2,2,1.0,,0.00626125,4569,55
FallingAlt_9_downward:gemini:temporal_rollout_json_qualitative_v3,FallingAlt_9_downward,FallingAlt_9,downward,gemini,1,1,2,2,1.0,,0.016286,6121,337
FallingAlt_9_downward:gpt:temporal_rollout_json_qualitative_v3,FallingAlt_9_downward,FallingAlt_9,downward,gpt,1,1,2,2,1.0,,0.006335,4620,56
FallingAlt_9_upward:gemini:temporal_rollout_json_qualitative_v3,FallingAlt_9_upward,FallingAlt_9,upward,gemini,1,1,1,1,1.0,,0.013716,6048,135
FallingAlt_9_upward:gpt:temporal_rollout_json_qualitative_v3,FallingAlt_9_upward,FallingAlt_9,upward,gpt,1,1,1,1,1.0,,0.00608125,4545,40
Falling_10_downward:gemini:temporal_rollout_json_qualitative_v3,Falling_10_downward,Falling_10,downward,gemini,1,1,2,2,1.0,,0.015954,4569,568
Falling_10_downward:gpt:temporal_rollout_json_qualitative_v3,Falling_10_downward,Falling_10,downward,gpt,1,1,1,2,0.5,,0.00524875,3767,54
Falling_10_upward:gemini:temporal_rollout_json_qualitative_v3,Falling_10_upward,Falling_10,upward,gemini,1,1,2,2,1.0,,0.01504,4814,451
Falling_10_upward:gpt:temporal_rollout_json_qualitative_v3,Falling_10_upward,Falling_10,upward,gpt,1,1,1,2,0.5,,0.00526125,3777,54
Falling_1_downward:gemini:temporal_rollout_json_qualitative_v3,Falling_1_downward,Falling_1,downward,gemini,1,1,2,2,1.0,,0.01272,4812,258
Falling_1_downward:gpt:temporal_rollout_json_qualitative_v3,Falling_1_downward,Falling_1,downward,gpt,1,1,2,2,1.0,,0.005235,3756,54
