call_id,cell_id,layout_id,gravity_mode,model_key,model_id,question_id,category,observed,expected,correct,format_valid,response_attempt_count
BackUp_8_upward:gemini:temporal_rollout_images_qualitative_v3,BackUp_8_upward,BackUp_8,upward,gemini,google/gemini-3.1-pro-preview,BackUp_8_upward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_8_upward:gemini:temporal_rollout_images_qualitative_v3,BackUp_8_upward,BackUp_8,upward,gemini,google/gemini-3.1-pro-preview,BackUp_8_upward:red_visibly_moves_v3,red_visible_motion,A,A,1,1,1
BackUp_8_upward:gpt:temporal_rollout_images_qualitative_v3,BackUp_8_upward,BackUp_8,upward,gpt,openai/gpt-5,BackUp_8_upward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_8_upward:gpt:temporal_rollout_images_qualitative_v3,BackUp_8_upward,BackUp_8,upward,gpt,openai/gpt-5,BackUp_8_upward:red_visibly_moves_v3,red_visible_motion,A,A,1,1,1
BackUp_9_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_9_downward,BackUp_9,downward,gemini,google/gemini-3.1-pro-preview,BackUp_9_downward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BackUp_9_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_9_downward,BackUp_9,downward,gpt,openai/gpt-5,BackUp_9_downward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BackUp_9_upward:gemini:temporal_rollout_images_qualitative_v3,BackUp_9_upward,BackUp_9,upward,gemini,google/gemini-3.1-pro-preview,BackUp_9_upward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BackUp_9_upward:gpt:temporal_rollout_images_qualitative_v3,BackUp_9_upward,BackUp_9,upward,gpt,openai/gpt-5,BackUp_9_upward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BalanceUnder_10_downward:gemini:temporal_rollout_images_qualitative_v3,BalanceUnder_10_downward,BalanceUnder_10,downward,gemini,google/gemini-3.1-pro-preview,BalanceUnder_10_downward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BalanceUnder_10_downward:gemini:temporal_rollout_images_qualitative_v3,BalanceUnder_10_downward,BalanceUnder_10,downward,gemini,google/gemini-3.1-pro-preview,BalanceUnder_10_downward:red_endpoint_horizontal_v3,red_endpoint_horizontal,A,A,1,1,1
BalanceUnder_10_downward:gemini:temporal_rollout_images_qualitative_v3,BalanceUnder_10_downward,BalanceUnder_10,downward,gemini,google/gemini-3.1-pro-preview,BalanceUnder_10_downward:red_visibly_moves_v3,red_visible_motion,A,A,1,1,1
BalanceUnder_10_downward:gpt:temporal_rollout_images_qualitative_v3,BalanceUnder_10_downward,BalanceUnder_10,downward,gpt,openai/gpt-5,BalanceUnder_10_downward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BalanceUnder_10_downward:gpt:temporal_rollout_images_qualitative_v3,BalanceUnder_10_downward,BalanceUnder_10,downward,gpt,openai/gpt-5,BalanceUnder_10_downward:red_endpoint_horizontal_v3,red_endpoint_horizontal,A,A,1,1,1
BalanceUnder_10_downward:gpt:temporal_rollout_images_qualitative_v3,BalanceUnder_10_downward,BalanceUnder_10,downward,gpt,openai/gpt-5,BalanceUnder_10_downward:red_visibly_moves_v3,red_visible_motion,A,A,1,1,1
BalanceUnder_10_upward:gemini:temporal_rollout_images_qualitative_v3,BalanceUnder_10_upward,BalanceUnder_10,upward,gemini,google/gemini-3.1-pro-preview,BalanceUnder_10_upward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BalanceUnder_10_upward:gemini:temporal_rollout_images_qualitative_v3,BalanceUnder_10_upward,BalanceUnder_10,upward,gemini,google/gemini-3.1-pro-preview,BalanceUnder_10_upward:red_endpoint_horizontal_v3,red_endpoint_horizontal,A,A,1,1,1
BalanceUnder_10_upward:gpt:temporal_rollout_images_qualitative_v3,BalanceUnder_10_upward,BalanceUnder_10,upward,gpt,openai/gpt-5,BalanceUnder_10_upward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BalanceUnder_10_upward:gpt:temporal_rollout_images_qualitative_v3,BalanceUnder_10_upward,BalanceUnder_10,upward,gpt,openai/gpt-5,BalanceUnder_10_upward:red_endpoint_horizontal_v3,red_endpoint_horizontal,A,A,1,1,1
BalanceUnder_2_downward:gemini:temporal_rollout_images_qualitative_v3,BalanceUnder_2_downward,BalanceUnder_2,downward,gemini,google/gemini-3.1-pro-preview,BalanceUnder_2_downward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BalanceUnder_2_downward:gpt:temporal_rollout_images_qualitative_v3,BalanceUnder_2_downward,BalanceUnder_2,downward,gpt,openai/gpt-5,BalanceUnder_2_downward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BalanceUnder_2_upward:gemini:temporal_rollout_images_qualitative_v3,BalanceUnder_2_upward,BalanceUnder_2,upward,gemini,google/gemini-3.1-pro-preview,BalanceUnder_2_upward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BalanceUnder_2_upward:gemini:temporal_rollout_images_qualitative_v3,BalanceUnder_2_upward,BalanceUnder_2,upward,gemini,google/gemini-3.1-pro-preview,BalanceUnder_2_upward:red_endpoint_horizontal_v3,red_endpoint_horizontal,B,B,1,1,1
BalanceUnder_2_upward:gpt:temporal_rollout_images_qualitative_v3,BalanceUnder_2_upward,BalanceUnder_2,upward,gpt,openai/gpt-5,BalanceUnder_2_upward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BalanceUnder_2_upward:gpt:temporal_rollout_images_qualitative_v3,BalanceUnder_2_upward,BalanceUnder_2,upward,gpt,openai/gpt-5,BalanceUnder_2_upward:red_endpoint_horizontal_v3,red_endpoint_horizontal,B,B,1,1,1
BalanceUnder_3_downward:gemini:temporal_rollout_images_qualitative_v3,BalanceUnder_3_downward,BalanceUnder_3,downward,gemini,google/gemini-3.1-pro-preview,BalanceUnder_3_downward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BalanceUnder_3_downward:gpt:temporal_rollout_images_qualitative_v3,BalanceUnder_3_downward,BalanceUnder_3,downward,gpt,openai/gpt-5,BalanceUnder_3_downward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BalanceUnder_3_upward:gemini:temporal_rollout_images_qualitative_v3,BalanceUnder_3_upward,BalanceUnder_3,upward,gemini,google/gemini-3.1-pro-preview,BalanceUnder_3_upward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BalanceUnder_3_upward:gpt:temporal_rollout_images_qualitative_v3,BalanceUnder_3_upward,BalanceUnder_3,upward,gpt,openai/gpt-5,BalanceUnder_3_upward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BalanceUnder_5_downward:gemini:temporal_rollout_images_qualitative_v3,BalanceUnder_5_downward,BalanceUnder_5,downward,gemini,google/gemini-3.1-pro-preview,BalanceUnder_5_downward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BalanceUnder_5_downward:gemini:temporal_rollout_images_qualitative_v3,BalanceUnder_5_downward,BalanceUnder_5,downward,gemini,google/gemini-3.1-pro-preview,BalanceUnder_5_downward:red_visibly_moves_v3,red_visible_motion,B,B,1,1,1
BalanceUnder_5_downward:gpt:temporal_rollout_images_qualitative_v3,BalanceUnder_5_downward,BalanceUnder_5,downward,gpt,openai/gpt-5,BalanceUnder_5_downward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BalanceUnder_5_downward:gpt:temporal_rollout_images_qualitative_v3,BalanceUnder_5_downward,BalanceUnder_5,downward,gpt,openai/gpt-5,BalanceUnder_5_downward:red_visibly_moves_v3,red_visible_motion,A,B,0,1,1
BalanceUnder_5_upward:gemini:temporal_rollout_images_qualitative_v3,BalanceUnder_5_upward,BalanceUnder_5,upward,gemini,google/gemini-3.1-pro-preview,BalanceUnder_5_upward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BalanceUnder_5_upward:gemini:temporal_rollout_images_qualitative_v3,BalanceUnder_5_upward,BalanceUnder_5,upward,gemini,google/gemini-3.1-pro-preview,BalanceUnder_5_upward:red_visibly_moves_v3,red_visible_motion,A,A,1,1,1
BalanceUnder_5_upward:gpt:temporal_rollout_images_qualitative_v3,BalanceUnder_5_upward,BalanceUnder_5,upward,gpt,openai/gpt-5,BalanceUnder_5_upward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BalanceUnder_5_upward:gpt:temporal_rollout_images_qualitative_v3,BalanceUnder_5_upward,BalanceUnder_5,upward,gpt,openai/gpt-5,BalanceUnder_5_upward:red_visibly_moves_v3,red_visible_motion,A,A,1,1,1
BalanceUnder_6_downward:gemini:temporal_rollout_images_qualitative_v3,BalanceUnder_6_downward,BalanceUnder_6,downward,gemini,google/gemini-3.1-pro-preview,BalanceUnder_6_downward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BalanceUnder_6_downward:gpt:temporal_rollout_images_qualitative_v3,BalanceUnder_6_downward,BalanceUnder_6,downward,gpt,openai/gpt-5,BalanceUnder_6_downward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BalanceUnder_6_upward:gemini:temporal_rollout_images_qualitative_v3,BalanceUnder_6_upward,BalanceUnder_6,upward,gemini,google/gemini-3.1-pro-preview,BalanceUnder_6_upward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BalanceUnder_6_upward:gemini:temporal_rollout_images_qualitative_v3,BalanceUnder_6_upward,BalanceUnder_6,upward,gemini,google/gemini-3.1-pro-preview,BalanceUnder_6_upward:red_visibly_moves_v3,red_visible_motion,A,A,1,1,1
BalanceUnder_6_upward:gpt:temporal_rollout_images_qualitative_v3,BalanceUnder_6_upward,BalanceUnder_6,upward,gpt,openai/gpt-5,BalanceUnder_6_upward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BalanceUnder_6_upward:gpt:temporal_rollout_images_qualitative_v3,BalanceUnder_6_upward,BalanceUnder_6,upward,gpt,openai/gpt-5,BalanceUnder_6_upward:red_visibly_moves_v3,red_visible_motion,A,A,1,1,1
BalanceUnder_7_downward:gemini:temporal_rollout_images_qualitative_v3,BalanceUnder_7_downward,BalanceUnder_7,downward,gemini,google/gemini-3.1-pro-preview,BalanceUnder_7_downward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BalanceUnder_7_downward:gpt:temporal_rollout_images_qualitative_v3,BalanceUnder_7_downward,BalanceUnder_7,downward,gpt,openai/gpt-5,BalanceUnder_7_downward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BalanceUnder_7_upward:gemini:temporal_rollout_images_qualitative_v3,BalanceUnder_7_upward,BalanceUnder_7,upward,gemini,google/gemini-3.1-pro-preview,BalanceUnder_7_upward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BalanceUnder_7_upward:gpt:temporal_rollout_images_qualitative_v3,BalanceUnder_7_upward,BalanceUnder_7,upward,gpt,openai/gpt-5,BalanceUnder_7_upward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BalanceUnder_8_downward:gemini:temporal_rollout_images_qualitative_v3,BalanceUnder_8_downward,BalanceUnder_8,downward,gemini,google/gemini-3.1-pro-preview,BalanceUnder_8_downward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BalanceUnder_8_downward:gemini:temporal_rollout_images_qualitative_v3,BalanceUnder_8_downward,BalanceUnder_8,downward,gemini,google/gemini-3.1-pro-preview,BalanceUnder_8_downward:red_endpoint_horizontal_v3,red_endpoint_horizontal,A,A,1,1,1
BalanceUnder_8_downward:gpt:temporal_rollout_images_qualitative_v3,BalanceUnder_8_downward,BalanceUnder_8,downward,gpt,openai/gpt-5,BalanceUnder_8_downward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BalanceUnder_8_downward:gpt:temporal_rollout_images_qualitative_v3,BalanceUnder_8_downward,BalanceUnder_8,downward,gpt,openai/gpt-5,BalanceUnder_8_downward:red_endpoint_horizontal_v3,red_endpoint_horizontal,A,A,1,1,1
BalanceUnder_8_upward:gemini:temporal_rollout_images_qualitative_v3,BalanceUnder_8_upward,BalanceUnder_8,upward,gemini,google/gemini-3.1-pro-preview,BalanceUnder_8_upward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BalanceUnder_8_upward:gpt:temporal_rollout_images_qualitative_v3,BalanceUnder_8_upward,BalanceUnder_8,upward,gpt,openai/gpt-5,BalanceUnder_8_upward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
Balance_10_downward:gemini:temporal_rollout_images_qualitative_v3,Balance_10_downward,Balance_10,downward,gemini,google/gemini-3.1-pro-preview,Balance_10_downward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
Balance_10_downward:gpt:temporal_rollout_images_qualitative_v3,Balance_10_downward,Balance_10,downward,gpt,openai/gpt-5,Balance_10_downward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
Balance_10_upward:gemini:temporal_rollout_images_qualitative_v3,Balance_10_upward,Balance_10,upward,gemini,google/gemini-3.1-pro-preview,Balance_10_upward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
Balance_10_upward:gpt:temporal_rollout_images_qualitative_v3,Balance_10_upward,Balance_10,upward,gpt,openai/gpt-5,Balance_10_upward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
Balance_1_downward:gemini:temporal_rollout_images_qualitative_v3,Balance_1_downward,Balance_1,downward,gemini,google/gemini-3.1-pro-preview,Balance_1_downward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
Balance_1_downward:gemini:temporal_rollout_images_qualitative_v3,Balance_1_downward,Balance_1,downward,gemini,google/gemini-3.1-pro-preview,Balance_1_downward:red_endpoint_horizontal_v3,red_endpoint_horizontal,A,A,1,1,1
Balance_1_downward:gpt:temporal_rollout_images_qualitative_v3,Balance_1_downward,Balance_1,downward,gpt,openai/gpt-5,Balance_1_downward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
Balance_1_downward:gpt:temporal_rollout_images_qualitative_v3,Balance_1_downward,Balance_1,downward,gpt,openai/gpt-5,Balance_1_downward:red_endpoint_horizontal_v3,red_endpoint_horizontal,A,A,1,1,1
Balance_1_upward:gemini:temporal_rollout_images_qualitative_v3,Balance_1_upward,Balance_1,upward,gemini,google/gemini-3.1-pro-preview,Balance_1_upward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
Balance_1_upward:gemini:temporal_rollout_images_qualitative_v3,Balance_1_upward,Balance_1,upward,gemini,google/gemini-3.1-pro-preview,Balance_1_upward:red_endpoint_horizontal_v3,red_endpoint_horizontal,B,B,1,1,1
Balance_1_upward:gpt:temporal_rollout_images_qualitative_v3,Balance_1_upward,Balance_1,upward,gpt,openai/gpt-5,Balance_1_upward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
Balance_1_upward:gpt:temporal_rollout_images_qualitative_v3,Balance_1_upward,Balance_1,upward,gpt,openai/gpt-5,Balance_1_upward:red_endpoint_horizontal_v3,red_endpoint_horizontal,B,B,1,1,1
Balance_2_downward:gemini:temporal_rollout_images_qualitative_v3,Balance_2_downward,Balance_2,downward,gemini,google/gemini-3.1-pro-preview,Balance_2_downward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
Balance_2_downward:gemini:temporal_rollout_images_qualitative_v3,Balance_2_downward,Balance_2,downward,gemini,google/gemini-3.1-pro-preview,Balance_2_downward:red_visibly_moves_v3,red_visible_motion,B,B,1,1,1
Balance_2_downward:gpt:temporal_rollout_images_qualitative_v3,Balance_2_downward,Balance_2,downward,gpt,openai/gpt-5,Balance_2_downward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
Balance_2_downward:gpt:temporal_rollout_images_qualitative_v3,Balance_2_downward,Balance_2,downward,gpt,openai/gpt-5,Balance_2_downward:red_visibly_moves_v3,red_visible_motion,B,B,1,1,1
Balance_2_upward:gemini:temporal_rollout_images_qualitative_v3,Balance_2_upward,Balance_2,upward,gemini,google/gemini-3.1-pro-preview,Balance_2_upward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
Balance_2_upward:gemini:temporal_rollout_images_qualitative_v3,Balance_2_upward,Balance_2,upward,gemini,google/gemini-3.1-pro-preview,Balance_2_upward:red_visibly_moves_v3,red_visible_motion,A,A,1,1,1
Balance_2_upward:gpt:temporal_rollout_images_qualitative_v3,Balance_2_upward,Balance_2,upward,gpt,openai/gpt-5,Balance_2_upward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
Balance_2_upward:gpt:temporal_rollout_images_qualitative_v3,Balance_2_upward,Balance_2,upward,gpt,openai/gpt-5,Balance_2_upward:red_visibly_moves_v3,red_visible_motion,B,A,0,1,1
